d3mIndex,class
7,Rock
40,International
41,International
42,International
43,International
44,International
45,International
56,Folk
57,Folk
65,Experimental
66,Experimental
67,Experimental
68,Experimental
77,Experimental
78,Experimental
145,Rock
213,Rock
341,Experimental
342,Experimental
343,Experimental
344,Experimental
345,Experimental
346,Experimental
347,Experimental
348,Experimental
349,Experimental
350,Experimental
351,Experimental
352,Experimental
353,Experimental
354,Experimental
388,Experimental
412,Instrumental
417,Folk
418,Folk
419,Folk
420,Folk
421,Folk
422,Folk
423,Folk
424,Folk
425,Folk
427,Folk
428,Folk
429,Folk
430,Folk
431,Folk
432,Folk
433,Folk
434,Folk
436,Folk
437,Folk
438,Folk
455,Folk
456,Folk
457,Folk
458,Folk
473,Folk
474,Folk
475,Experimental
476,Experimental
477,Folk
480,Pop
481,Hip-Hop
496,Folk
497,Folk
498,Folk
499,Folk
565,Folk
566,Folk
567,Folk
568,Folk
569,Folk
570,Folk
571,Folk
572,Folk
573,Folk
574,Folk
575,Folk
576,Folk
577,Folk
578,Folk
579,Folk
580,Folk
581,Folk
582,Folk
588,Pop
600,Pop
601,Pop
603,Folk
604,Folk
605,Folk
606,Folk
607,Folk
608,Folk
609,Folk
610,Folk
611,Folk
612,Folk
613,Folk
614,Folk
615,Pop
616,Rock
626,International
627,International
628,International
639,Pop
652,Experimental
655,Rock
658,Electronic
659,Electronic
660,Electronic
661,Electronic
662,Electronic
663,Electronic
711,International
712,International
713,International
714,International
715,Rock
717,Pop
719,Experimental
721,Rock
722,Rock
723,Rock
724,Rock
725,Rock
726,Rock
727,Rock
728,Rock
729,Rock
730,Rock
731,Rock
732,Rock
733,Rock
736,Experimental
762,Pop
763,Pop
764,Pop
765,Pop
779,Rock
780,Rock
781,Rock
820,Experimental
827,Folk
850,Hip-Hop
856,Rock
868,Experimental
883,Electronic
913,Pop
914,Pop
915,Pop
916,Pop
917,Pop
918,Pop
919,Pop
941,Electronic
948,Rock
949,Experimental
959,Electronic
1022,Pop
1100,Electronic
1101,Electronic
1102,Electronic
1103,Electronic
1104,Electronic
1105,Electronic
1146,Rock
1147,Rock
1148,Electronic
1151,Rock
1169,Rock
1170,Pop
1187,International
1229,Experimental
1282,Electronic
1327,Rock
1341,Pop
1342,Pop
1343,Experimental
1344,Experimental
1345,Experimental
1358,Pop
1359,Pop
1360,Pop
1361,Pop
1362,Electronic
1364,Pop
1366,Electronic
1367,Electronic
1368,Electronic
1382,Hip-Hop
1401,Experimental
1402,Pop
1403,Pop
1404,Pop
1405,Pop
1416,Electronic
1464,International
1465,International
1466,International
1467,International
1468,International
1469,International
1470,International
1471,International
1472,International
1473,International
1474,International
1475,International
1476,International
1477,International
1478,International
1479,International
1480,International
1481,International
1482,International
1483,International
1484,International
1485,International
1486,International
1487,International
1488,International
1489,International
1490,International
1534,Experimental
1535,Experimental
1536,Experimental
1543,Electronic
1544,Electronic
1569,Folk
1570,Folk
1571,Folk
1572,Folk
1573,Folk
1574,Folk
1575,Folk
1576,Folk
1577,Folk
1578,Folk
1579,Folk
1580,Folk
1581,Folk
1582,Folk
1583,Folk
1584,Folk
1585,Folk
1603,Electronic
1604,Electronic
1615,International
1622,Folk
1642,Electronic
1650,Hip-Hop
1657,Experimental
1658,Experimental
1659,Experimental
1660,Experimental
1661,Experimental
1662,Experimental
1673,Electronic
1674,Electronic
1675,Electronic
1676,Electronic
1677,Electronic
1678,Electronic
1680,Folk
1711,International
1712,International
1713,International
1714,International
1715,International
1716,International
1745,International
1746,International
1747,International
1748,International
1757,Hip-Hop
1780,Folk
1795,Experimental
1834,Electronic
1837,Electronic
1862,Experimental
1881,Experimental
1882,Experimental
1883,Experimental
1922,Rock
1925,Rock
1926,Folk
1955,Electronic
1994,Rock
1995,Rock
2016,Pop
2044,Rock
2045,Rock
2046,Rock
2065,Pop
2074,Pop
2082,Experimental
2083,Experimental
2183,Pop
2184,Pop
2195,Folk
2196,Folk
2197,Folk
2198,Folk
2281,Folk
2397,Electronic
2433,Pop
2434,Rock
2443,Experimental
2444,Experimental
2445,Experimental
2446,Experimental
2458,Electronic
2535,Rock
2536,International
2565,International
2601,Hip-Hop
2605,International
2606,International
2607,International
2608,International
2609,International
2627,International
2628,International
2629,International
2630,International
2631,International
2662,Rock
2663,Rock
2724,Electronic
2725,Electronic
2727,Experimental
2728,Experimental
2729,Experimental
2734,Folk
2735,Folk
2736,Folk
2737,Folk
2738,Folk
2739,Folk
2740,Folk
2746,Folk
2747,Folk
2818,Electronic
2872,Experimental
2881,Electronic
2882,Electronic
2883,Electronic
2899,Rock
2900,Rock
2901,Rock
2902,Rock
2903,Rock
2904,Rock
2917,Rock
2933,Pop
2934,Pop
2935,Pop
