d3mIndex,filename,bit_rate,start,end,class
1,000002.mp3,256000,0,168,Hip-Hop
2,000005.mp3,256000,0,206,Hip-Hop
3,000010.mp3,192000,0,161,Pop
4,000140.mp3,128000,0,253,Folk
5,000141.mp3,128000,0,182,Folk
6,000148.mp3,256000,0,138,Experimental
7,000182.mp3,256000,0,228,Rock
8,000190.mp3,256000,0,249,Folk
9,000193.mp3,256000,0,254,Folk
10,000194.mp3,256000,0,192,Folk
11,000197.mp3,256000,0,68,Folk
12,000200.mp3,256000,0,194,Folk
13,000203.mp3,256000,0,195,Folk
14,000204.mp3,256000,0,324,Folk
15,000207.mp3,256000,0,96,Folk
16,000210.mp3,256000,0,184,Folk
17,000211.mp3,256000,0,247,Folk
18,000212.mp3,256000,0,230,Folk
19,000213.mp3,256000,0,247,Pop
20,000255.mp3,256000,0,182,Rock
21,000256.mp3,256000,0,202,Rock
22,000368.mp3,256000,0,280,Rock
23,000424.mp3,256000,0,76,Experimental
24,000459.mp3,128000,0,301,Rock
25,000534.mp3,128000,0,80,Folk
26,000540.mp3,128000,0,309,Folk
27,000546.mp3,128000,0,319,Folk
28,000574.mp3,219522,0,267,Rock
29,000602.mp3,160000,0,445,Folk
30,000615.mp3,256000,0,519,Experimental
31,000620.mp3,256000,0,205,Folk
32,000621.mp3,256000,0,161,Folk
33,000625.mp3,256000,0,234,Folk
34,000666.mp3,256000,0,235,International
35,000667.mp3,256000,0,246,International
36,000676.mp3,256000,0,197,Hip-Hop
37,000690.mp3,256000,0,290,Rock
38,000694.mp3,160000,0,291,Hip-Hop
39,000695.mp3,160000,0,104,Hip-Hop
40,000704.mp3,256000,0,310,International
41,000705.mp3,256000,0,369,International
42,000706.mp3,256000,0,312,International
43,000707.mp3,256000,0,330,International
44,000708.mp3,256000,0,289,International
45,000709.mp3,192000,0,192,International
46,000714.mp3,256000,0,338,Folk
47,000715.mp3,256000,0,283,Folk
48,000716.mp3,256000,0,297,Folk
49,000718.mp3,256000,0,128,Folk
50,000777.mp3,256000,0,90,Rock
51,000814.mp3,256000,0,146,Folk
52,000821.mp3,256000,0,200,Pop
53,000822.mp3,256000,0,323,Pop
54,000825.mp3,128000,0,83,Rock
55,000853.mp3,256000,0,137,International
56,000890.mp3,256000,0,297,Folk
57,000892.mp3,256000,0,480,Folk
58,000897.mp3,256000,0,275,Experimental
59,000993.mp3,256000,0,86,Rock
60,000995.mp3,256000,0,298,Experimental
61,000997.mp3,256000,0,520,Experimental
62,000998.mp3,256000,0,475,Experimental
63,001039.mp3,256000,0,169,Rock
64,001040.mp3,192000,0,310,Rock
65,001066.mp3,192000,0,234,Experimental
66,001069.mp3,192000,0,110,Experimental
67,001073.mp3,192000,0,93,Experimental
68,001075.mp3,192000,0,62,Experimental
69,001082.mp3,256000,0,187,International
70,001083.mp3,192000,0,472,Experimental
71,001087.mp3,256000,0,315,Rock
72,001102.mp3,256000,0,327,Rock
73,001193.mp3,192000,0,286,Folk
74,001195.mp3,192000,0,212,Folk
75,001196.mp3,192000,0,221,Folk
76,001197.mp3,192000,0,161,Folk
77,001249.mp3,256000,0,566,Experimental
78,001259.mp3,256000,0,208,Experimental
79,001270.mp3,128000,0,149,Rock
80,001276.mp3,256000,0,145,Experimental
81,001277.mp3,256000,0,253,Experimental
82,001278.mp3,256000,0,592,Experimental
